incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000001,2026-06-02,COL-02,ABASTECIMIENTO,Late produce delivery affected prep schedule,CERRADO,CLI-000001,2,MGR-02
BRS-000002,2026-06-03,COL-03,QUEJA_CLIENTE,Customer complained about slow service at counter,DESCARTADO,CLI-000002,,MGR-03
BRS-000003,2026-06-04,COL-04,CALIDAD_ALIMENTO,Undercooked chicken report from dine-in guest,ABIERTO,CLI-000003,,MGR-04
BRS-000004,2026-06-05,COL-05,PERSONAL,Shift handover conflict between kitchen and front staff,CERRADO,CLI-000004,5,MGR-05
BRS-000005,2026-06-06,COL-06,EQUIPAMIENTO,Grill temperature spike reported during lunch service,DESCARTADO,CLI-000005,,MGR-06
BRS-000006,2026-06-07,COL-07,ABASTECIMIENTO,Late produce delivery affected prep schedule,ABIERTO,CLI-000006,,MGR-07
BRS-000007,2026-06-08,,QUEJA_CLIENTE,Customer complained about slow service at counter,CERRADO,CLI-000007,,MGR-08
BRS-000008,2026-06-09,COL-09,INVALID_CAT,Undercooked chicken report from dine-in guest,DESCARTADO,CLI-000008,,MGR-09
BRS-000009,2026-06-10,COL-10,PERSONAL,bad,ABIERTO,CLI-000009,,MGR-10
BRS-000010,2026-06-11,COL-11,EQUIPAMIENTO,Grill temperature spike reported during lunch service,CERRADO,CLI-000010,,MGR-11
BRS-000011,2026-06-12,COL-12,ABASTECIMIENTO,Late produce delivery affected prep schedule,DESCARTADO,CLI-000011,,MGR-12
BRS-000012,2026-06-13,COL-13,QUEJA_CLIENTE,Customer complained about slow service at counter,ABIERTO,CLI-000012,,MGR-01
BRS-000013,2026-06-14,COL-14,CALIDAD_ALIMENTO,Undercooked chicken report from dine-in guest,CERRADO,CLI-000013,4,MGR-02
BRS-000014,2026-06-15,COL-15,PERSONAL,Shift handover conflict between kitchen and front staff,DESCARTADO,CLI-000014,,MGR-03
BRS-000015,2026-06-16,COL-16,EQUIPAMIENTO,Grill temperature spike reported during lunch service,ABIERTO,CLI-000015,,MGR-04
BRS-000016,2026-06-17,COL-17,ABASTECIMIENTO,Late produce delivery affected prep schedule,CERRADO,CLI-000016,2,MGR-05
BRS-000017,2026-06-18,COL-18,QUEJA_CLIENTE,Customer complained about slow service at counter,DESCARTADO,CLI-000017,,MGR-06
BRS-000018,2026-06-19,COL-19,CALIDAD_ALIMENTO,Undercooked chicken report from dine-in guest,ABIERTO,CLI-000018,,MGR-07
BRS-000019,2026-06-20,COL-20,PERSONAL,Shift handover conflict between kitchen and front staff,CERRADO,CLI-000019,5,MGR-08
