incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000001,2026-06-01,COL-01,EQUIPAMIENTO,Grill temperature spike,CERRADO,CLI-0001,4,MGR-01
BRS-000002,2026-06-01,COL-02,ABASTECIMIENTO,Late produce delivery,ABIERTO,CLI-0002,,MGR-02
BRS-000003,2026-06-01,COL-03,QUEJA_CLIENTE,Customer complained about service,CERRADO,CLI-0003,3,MGR-03
BRS-000004,2026-06-02,COL-04,CALIDAD_ALIMENTO,Undercooked chicken report,CERRADO,CLI-0004,2,MGR-04
BRS-000005,2026-06-02,COL-05,PERSONAL,Shift handover conflict,ABIERTO,CLI-0005,,MGR-05
BRS-000006,2026-06-03,COL-06,EQUIPAMIENTO,Extractor noise issue,DESCARTADO,CLI-0006,,MGR-06
BRS-000007,2026-06-03,,ABASTECIMIENTO,Missing location sample,ABIERTO,CLI-0007,,MGR-07
BRS-000008,2026-06-03,COL-08,INVALID_CAT,Invalid category sample,ABIERTO,CLI-0008,,MGR-08
BRS-000009,2026-06-04,COL-09,QUEJA_CLIENTE,bad,ABIERTO,CLI-0009,,MGR-09
BRS-000010,2026-06-04,COL-10,PERSONAL,Closed without score,CERRADO,CLI-0010,,MGR-10
